门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
C775	98023	华宁宁兴街分店	华宁县棚户区改造项目3号地块3-39号	云南分部	药店	NULL	NULL	玉溪分部	华宁	玉溪地区	玉溪10	2022/7/26 15:00	2021/11/17 0:00		102.929851	24.191773
C776	98024	华宁东门街分店	华宁县棚户区改造项目3号地块3-13,3-14号	云南分部	药店	NULL	NULL	玉溪分部	华宁	玉溪地区	玉溪10	2022/7/26 15:00	2021/11/17 0:00		102.929874	24.192922
C777	98147	临沧朝阳路分店	临沧市临翔区南信桥社区缅宁大道819号C4幢105号	云南分部	药店	NULL	NULL	临沧分部	临沧	临沧地区	临沧05	2022/9/8 9:59	2021/12/31 0:00		100.100774	23.868858
C778	98146	凤庆县凤庆广场分店	临沧市凤庆县滇红路迎春小区二期第1幢第1层1-08号	云南分部	药店	NULL	NULL	临沧分部	凤庆	临沧地区	临沧06	2022/11/9 17:28	2021/12/8 0:00		99.919838	24.592737
C779	98053	昆明万科翡翠滨江二分店	昆明市官渡区六甲街道办事处傲珀澜庭城4-A3地块8幢1层S6,7,8,10号	云南分部	药店	NULL	NULL	昆明二部	昆明	昆明南区	昆明南区06	2022/7/26 14:26	2021/11/24 0:00		102.699275	24.956306
C780	98125	重庆大学城中路三分店	重庆市沙坪坝区大学城中路34号9幢1-28，29号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区05	2022/8/12 13:25	2021/12/1 0:00		106.309157	29.602221
C781	98054	昆明昆悦花园分店	昆明市西山区马街街道办事处昆悦花园4幢商业1,2号	云南分部	药店	NULL	NULL	昆明二部	昆明	昆明西区	昆明西区08	2022/12/8 17:36	2022/1/10 0:00		102.647669	25.043399
C782	98047	昭通吾悦广场分店	昭通市昭阳区二环西路与二环南路交叉口昭通吾悦广场1号地块1幢1层1-1-47,1-1-48号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通05	2022/7/26 14:22	2021/11/4 0:00		103.697401	27.322761
C783	98046	曲靖建宁东路分店	曲靖市麒麟区珠江源大道东侧与建宁东路交叉口祥达东城（祥达花园小区）C区4幢一楼	云南分部	药店	0874-3332659	0874-3332659	曲靖分部	曲靖	曲靖北区	曲靖北区02	2022/7/26 15:04	2021/11/13 0:00		103.822741	25.524355
C784	98044	曲靖平安路分店	曲靖市麒麟区益宁街道花柯社区彩云居民小组7号（现平安路554号）	云南分部	药店	NULL	NULL	曲靖分部	曲靖	曲靖南区	曲靖南区03	2022/7/26 15:26	2021/11/15 0:00		103.81138	25.475183
C785	98043	永善粮坊路分店	昭通市永善县溪洛渡镇玉泉路94号03幢1-13,1-15号	云南分部	药店	NULL	NULL	昭通分部	永善	昭通地区	昭通10	2022/7/26 15:05	2021/11/12 0:00		103.635252	28.235181
C786	98045	昆明船舶小区二分店	昆明市官渡区东郊八公里船舶小区D区2栋6-7号	云南分部	药店	NULL	NULL	昆明二部	昆明	郊县地区	郊县地区01	2022/7/26 15:20	2021/12/18 0:00		102.79701	24.992559
C787	98126	重庆民安大道分店	重庆市北部新区高新园民安大道465号附27,28号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区02	2022/11/9 16:11	2021/12/22 0:00		106.533153	29.604934
C788	98383	南宁瀚林时代广场分店	南宁市西乡塘区永和路19号瀚林时代广场20-25号楼143-146号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区03	2022/10/8 17:07	2021/11/11 0:00		108.297711	22.810892
C789	98124	景东德龙路分店	普洱市景东县锦屏镇新城区德龙路47号	云南分部	药店	NULL	NULL	普洱景洪分部	景东	普洱二区	普洱二区05	2022/9/14 10:12	2022/1/1 0:00		100.844762	24.44743
C790	98123	景东西郊路分店	景东县茶试站公租房8幢第二间铺面	云南分部	药店	NULL	NULL	普洱景洪分部	景东	普洱二区	普洱二区05	2022/10/15 16:38	2021/12/31 0:00		100.837645	24.437836
C791	98210	昆明嶺域时代分店	昆明市盘龙区北京路与北辰大道交口西南角嶺域时代大厦C幢1层1号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明东区	昆明东区03	2022/7/26 15:22	2021/11/4 0:00		102.731769	25.081236
C792	98211	昆明雍荣府分店	昆明市五华区黑林铺街道办事处前街59号雍荣府花园11号楼1层商业S2、S3、S4号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明北区	昆明北区03	2022/12/16 17:07	1900/1/1 0:00		102.651362	25.066459
C793	98212	云县兴泽园分店	临沧市云县爱华镇兴泽园小区22幢406号	云南分部	药店	NULL	NULL	临沧分部	云县	临沧地区	临沧02	2022/7/28 14:50	2022/1/11 0:00		100.130417	24.439458
C794	98324	昆明昆明湖湖泊分店	昆明市盘龙区龙泉街道办事处城投湖畔四季城锦漟中坝8地块2-S102号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明东区	昆明东区01	2022/10/17 16:36	2021/12/27 0:00		102.764402	25.134329
C795	98389	昭通红星美凯龙分店	昭通市昭阳区太平街道办事处红星美凯龙新城市购物中心二期负一层（9号地块）附3号	云南分部	药店	0870-2233070	0870-2233070	昭通分部	昭通	昭通地区	昭通04	2022/7/26 14:24	2022/1/11 0:00		103.742176	27.351819
C796	98387	腾冲秀峰吉昌小区分店	保山市腾冲县腾越镇秀峰社区吉昌小区1号	云南分部	药店	NULL	NULL	保山分部	腾冲	保山地区	保山04	2022/7/26 14:34	2021/12/6 0:00		98.497641	25.023554
C797	98384	腾冲观音塘李家巷分店	保山市腾冲市腾越镇观音塘社区李家巷小区65号	云南分部	药店	0875-5186507	NULL	保山分部	腾冲	保山地区	保山05	2022/8/22 15:59	2021/12/17 0:00		98.499371	25.043012
C798	98385	腾冲文星楼分店	保山市腾冲市腾越镇文星社区文财小区3号、4号	云南分部	药店	NULL	NULL	保山分部	腾冲	保山地区	保山04	2022/7/26 14:25	2021/12/5 0:00		98.500231	25.029042
C799	98546	南宁中南紫云集分店	南宁市良庆区凤凰路182号南宁橙光里12-B108号	广西分部	药店	13887886649	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/11/15 9:26	2022/1/1 0:00		108.357413	22.733167
C800	98388	重庆涂山路分店	重庆市南岸区涂山镇涂山路588号1层门面43号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区06	2022/9/22 13:24	2021/12/18 0:00		106.601929	29.575286
C801	98504	昆明恒大玖珑湾分店	昆明市官渡区恒大玖珑湾小区19号楼108，109号	云南分部	药店	NULL	NULL	昆明二部	昆明	昆明南区	昆明南区06	2022/7/26 14:23	1900/1/1 0:00		102.725626	24.947808
C802	98386	腾冲建华小区分店	保山市腾冲市腾越镇天成社区建华小区建材城30号	云南分部	药店	0875-5186726	NULL	保山分部	腾冲	保山地区	保山05	2022/8/22 15:59	2021/12/15 0:00		98.488463	25.027375
C803	98423	呈贡风华俊园分店	昆明市呈贡区洛龙街道办事处碧潭社区春融街3999号风华俊园27幢1层10室	云南分部	药店	NULL	NULL	昆明一部	昆明	呈贡新区	呈贡新区08	2022/12/13 13:13	1900/1/1 0:00		102.852837	24.89739
C804	98352	呈贡吾悦首府二分店	昆明市呈贡区洛龙街道办事处洛龙社区委员会祥和街吾悦名郡花园5幢S509，S510，S511号	云南分部	药店	NULL	NULL	昆明一部	昆明	呈贡新区	呈贡新区07	2022/7/26 15:08	2021/11/20 0:00		102.832561	24.890174
C805	98708	自贡金帝广场分店	自贡市沿滩区沿滩新城板南大道街122号龙湖金帝广场1栋1-31号	四川分部	药店	0813-5997770	0813-5997770	四川分部	自贡	自贡地区	自贡04	2022/12/16 12:37	2021/12/23 0:00		104.796862	29.321009
C806	98707	自贡金尚光大名筑分店	自贡市自流井区光大街218号金尚光大名筑1栋1-9号	四川分部	药店	0813-5997775	0813-5997775	四川分部	自贡	自贡地区	自贡04	2022/12/16 12:37	2021/12/29 0:00		104.75437	29.346065
C807	98503	重庆半山一村分店	重庆市九龙坡区半山一村69号附85,86号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区03	2022/10/14 14:30	2021/12/15 0:00		106.444708	29.476831
C808	98525	腾冲东营综合市场分店	保山市腾冲市腾越镇观音塘社区东营综合商场1号地内第二宗地B栋7-8号	云南分部	药店	NULL	NULL	保山分部	腾冲	保山地区	保山05	2022/7/26 15:19	2021/12/22 0:00		98.499371	25.043012
C809	98526	景洪勐泐大道分店	景洪市勐泐大道25号水果商贸城1幢101号、102号	云南分部	药店	NULL	NULL	普洱景洪分部	景洪	景洪地区	景洪地区02	2022/7/26 14:23	2021/12/9 0:00		100.794907	22.010206
C810	98822	南宁龙光玖珑台分店	南宁市邕宁区那造路12号龙光玖珑壹四期S2商业地下一层B113，B115、B116号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区02	2022/10/8 17:07	2022/1/8 0:00		108.451163	22.783248
C811	98663	嵩明小街药岭东路分店	嵩明小街史家街上村新坝1,3,5号	云南分部	药店	NULL	NULL	昆明二部	嵩明小街镇	郊县地区	郊县地区05	2022/7/26 15:17	2021/11/26 0:00		103.124823	25.31185
C812	98763	昭通南辰上邸分店	昭通市昭阳区凤凰街道办事处学庄社区第6组团8幢101、102号（南辰上邸小区）	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通05	2022/7/26 14:24	2021/11/26 0:00		103.694703	27.311369
C813	98665	曲靖民乐巷分店	曲靖市经济技术开发区三江大道以南、贵昆铁路以东安厦新光名苑小区6幢11、12号	云南分部	药店	NULL	NULL	曲靖分部	曲靖	曲靖北区	曲靖北区05	2022/7/26 15:04	2022/1/3 0:00		103.786304	25.507631
C814	98801	丽江旅院分店	云南省丽江市古城区束河街道云大旅游学院加油站旁文荣二组公房5号商铺（左起第5间）	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江08	2022/11/29 16:24	2021/12/1 0:00		100.227038	26.910344
C815	98783	丽江清溪公园分店	云南省丽江市古城区束河街道办事处文荣村文荣巷8号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江08	2022/7/26 14:44	2021/12/1 0:00		100.225541	26.903589
C816	98798	丽江文荣新村分店	云南省丽江市古城区束河街道开文社区文荣村二组177号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江08	2022/11/2 18:02	2021/12/1 0:00		100.226673	26.909325
C817	98799	丽江束河憨吱街分店	云南省丽江市古城区束河街道憨吱街二期73-77号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江01	2022/7/27 16:30	2021/12/1 0:00		100.20827	26.924009
C818	98800	丽江西安路三分店	云南省丽江市古城区束河街道黄山社区宏文村155号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江07	2022/7/26 14:50	2021/12/1 0:00		100.209232	26.882214
C819	98797	丽江民主路一分店	云南省丽江市古城区西安街道民主路301号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江07	2022/7/26 14:56	2021/12/1 0:00		100.231944	26.876531
C820	98796	丽江民主路二分店	云南省丽江市古城区西安街道民主路453号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江07	2022/8/26 17:33	2021/12/1 0:00		100.229159	26.874684
C821	98784	丽江长水路三分店	云南省丽江市古城区祥和街道长水路260号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江07	2022/7/26 14:50	2021/12/1 0:00		100.228349	26.865181
C822	98795	丽江昭庆市场分店	云南省丽江市古城区祥和街道昭庆市场1001号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江01	2022/7/26 14:44	2021/12/1 0:00		100.239049	26.862085
C823	98794	丽江福慧路一分店	云南省丽江市古城区西安街道义正社区福慧路505-1-2号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江07	2022/7/30 17:43	2021/12/1 0:00		100.22758	26.877331
C824	98793	丽江太和苑分店	云南省丽江市古城区祥和街道太和苑上区盟川苑第47号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江07	2022/7/30 17:31	2021/12/1 0:00		100.225658	26.851874
C825	98785	丽江荣城金街分店	云南省丽江市古城区束河街道荣城商业综合体1-104,1-105号商铺	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江08	2022/11/2 18:03	2021/12/1 0:00		100.226902	26.908825
C826	98792	丽江福慧路二分店	云南省丽江市古城区西安街道福慧路31号	云南分部	药店	0888-5134446	NULL	丽江分部	丽江	丽江地区	丽江07	2022/10/27 15:00	2021/12/1 0:00		100.212243	26.878541
C827	98791	丽江南口路一分店	云南省丽江市古城区祥和街道南口路47号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江01	2022/11/7 17:15	2021/12/1 0:00		100.236136	26.861975
C828	98790	丽江玉龙白华路二分店	云南省丽江市玉龙纳西族自治县黄山镇白华路79号	云南分部	药店	NULL	NULL	丽江分部	玉龙	丽江地区	丽江02	2022/11/7 17:11	2021/12/1 0:00		100.218411	26.8555
C829	98789	丽江玉龙丽水路二分店	云南省丽江市玉龙纳西族自治县黄山镇丽水路漾江社区玉龙园3-5-2号	云南分部	药店	NULL	NULL	丽江分部	玉龙	丽江地区	丽江02	2022/11/8 9:18	2021/12/1 0:00		100.243954	26.832911
C830	98788	丽江丽景湾分店	云南省丽江市古城区祥和街道祥和丽城康仲路北侧丽景湾商铺30号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江01	2022/8/22 17:32	2021/12/1 0:00		100.234114	26.859505
C831	98786	丽江玉龙南口路二分店	云南省丽江市玉龙纳西族自治县南口路中和商贸综合物流市场C栋5号铺面	云南分部	药店	NULL	NULL	丽江分部	玉龙	丽江地区	丽江02	2022/7/26 15:20	2021/12/1 0:00		100.250871	26.82995
C832	98787	丽江玉龙文峰苑分店	云南省丽江市玉龙纳西族自治县黄山镇文峰苑小区11-2号	云南分部	药店	NULL	NULL	丽江分部	玉龙	丽江地区	丽江02	2022/11/7 16:56	2021/12/1 0:00		100.228753	26.828682
C833	98943	重庆思贤路二分店	重庆市沙坪坝区西永组团U7标准分区8号楼1-商铺5，6	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区06	2022/10/13 14:05	2021/12/15 0:00		106.301923	29.58613
C834	98668	峨山练江南路分店	玉溪市峨山县双江街道练江南路15号	云南分部	药店	NULL	NULL	玉溪分部	峨山	玉溪地区	玉溪09	2022/11/11 11:11	2021/12/7 0:00		102.405934	24.169853
C835	98805	江川明珠路三分店	云南省玉溪市江川区大街街道明珠路13号	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川05	2022/10/9 17:32	2021/11/1 0:00		102.752066	24.293871
C836	98803	江川湖滨路三分店	云南省玉溪市江川区大街街道湖滨路	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川05	2022/10/9 17:32	2021/11/1 0:00		102.756862	24.288488
C837	98804	江川星云四分店	云南省玉溪市江川区大街街道星云路	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川05	2022/11/19 13:27	2021/11/1 0:00		102.751278	24.290268
C838	98818	江川龙旺湖城分店	云南省玉溪市江川区大街街道龙旺湖城13幢5号	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川01	2022/10/9 17:32	2021/11/1 0:00		102.742507	24.294248
C839	98819	江川星象路分店	云南省玉溪市江川区大街街道星象路	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川03	2022/10/9 17:32	2021/11/1 0:00		102.757447	24.287749
C840	98821	江川江城腾宝商业中心分店	云南省玉溪市江川区江城镇翠大线腾宝商业中心	云南分部	药店	NULL	NULL	玉溪分部	江川江城镇	江川地区	江川04	2022/10/9 17:32	2021/11/1 0:00		102.812383	24.422117
C841	98806	江川江城文星街二分店	云南省玉溪市江川区江城镇文星街	云南分部	药店	NULL	NULL	玉溪分部	江川江城镇	江川地区	江川04	2022/10/9 17:32	2021/11/1 0:00		102.809556	24.423357
C842	98807	江川江城文星街三分店	云南省玉溪市江川区江城镇文星街37号	云南分部	药店	NULL	NULL	玉溪分部	江川江城镇	江川地区	江川04	2022/10/9 17:32	2021/11/1 0:00		102.810549	24.423167
C843	98808	江川九溪大营街分店	云南省玉溪市江川区九溪镇大营街	云南分部	药店	NULL	NULL	玉溪分部	江川九溪镇	江川地区	江川02	2022/10/9 17:32	2021/11/1 0:00		102.637923	24.300919
C844	98812	江川前卫渔村二分店	云南省玉溪市江川区前卫镇渔村	云南分部	药店	NULL	NULL	玉溪分部	江川前卫镇	江川地区	江川05	2022/10/9 17:32	2021/11/1 0:00		102.750033	24.332521
C845	98809	江川早街农贸市场分店	云南省玉溪市江川区大街街道早街农贸市场	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川01	2022/10/9 17:32	2021/11/1 0:00		102.735609	24.296974
C846	98810	江川大营分店	云南省玉溪市江川区大街街道大营社区郭家营村	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川03	2022/10/9 17:32	2021/11/1 0:00		102.790143	24.278031
C847	98811	江川海浒村分店	云南省玉溪市江川区大街街道海浒社区上海浒村184号	云南分部	药店	NULL	NULL	玉溪分部	江川	江川地区	江川03	2022/11/19 13:27	2021/11/1 0:00		102.774235	24.286086
C848	98814	江川雄关一分店	云南省玉溪市江川区雄关乡雄关村委会中营村	云南分部	药店	NULL	NULL	玉溪分部	江川雄关乡	江川地区	江川03	2022/11/19 13:28	2021/11/1 0:00		102.799984	24.219961
C849	98813	澄江龙祥路一分店	云南省玉溪市澄江市龙街街道办事处龙街社区龙祥路67号	云南分部	药店	NULL	NULL	玉溪分部	澄江	玉溪地区	玉溪04	2022/10/9 17:33	2021/11/1 0:00		102.896325	24.64864
C850	98815	元江澧江路三分店	云南省玉溪市元江县红河街道澧江路76号	云南分部	药店	NULL	NULL	玉溪分部	元江	玉溪地区	玉溪08	2022/10/9 17:33	2021/11/1 0:00		101.999559	23.594602
C851	98817	元江财富广场分店	云南省玉溪市元江县澧江街道财富广场F-01/02号商铺	云南分部	药店	NULL	NULL	玉溪分部	元江	玉溪地区	玉溪08	2022/10/9 17:33	2021/11/1 0:00		102.003872	23.594121
C852	98820	元江文化路三分店	云南省玉溪市元江县红河街道文化路农业银行旁	云南分部	药店	NULL	NULL	玉溪分部	元江	玉溪地区	玉溪07	2022/10/9 17:33	2021/11/1 0:00		102.00045	23.596893
C853	98816	元江文化路四分店	云南省玉溪市元江县红河街道文化路新农贸市场2-115号	云南分部	药店	NULL	NULL	玉溪分部	元江	玉溪地区	玉溪07	2022/10/9 17:33	2021/11/1 0:00		101.990563	23.596623
C854	98965	南宁白鹭前湖分店	南宁市兴宁区昆仑大道995号嘉和城白鹭前湖7栋一层103,105号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区01	2022/11/14 16:38	2021/11/29 0:00		108.442618	22.91283
C855	99203	成都中信大道三段分店	成都市郫都区中信大道三段36号	四川分部	药店	028-60650369	028-85915376	四川分部	成都	成都地区	成都07	2022/8/27 11:43	2021/12/31 0:00		103.870223	30.799331
C856	98944	重庆湖月路分店	重庆北部新区湖月路4号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区04	2022/10/15 16:32	2022/1/23 0:00		106.565684	29.671937
C857	98945	重庆腾芳大道分店	重庆市渝北区双龙湖街道腾芳大道189号附九号华港翡翠城三期2号车库商铺9	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区01	2022/10/28 17:12	2021/12/24 0:00		106.603909	29.705226
C858	98946	重庆御龙路分店	重庆市江北区御龙路22号附9号,附10号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区01	2022/10/14 14:12	2021/12/26 0:00		106.538266	29.565674
C859	99003	昆明江东境界分店	昆明市五华区银河片区银河大道东侧江东境界花园Ⅱ13幢-7号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明北区	昆明北区01	2022/7/29 10:04	2021/12/17 0:00		102.741519	25.117708
C860	98947	景洪纳昆康小区分店	景洪市民航路28号3幢5、6、7号	云南分部	药店	NULL	NULL	普洱景洪分部	景洪	景洪地区	景洪地区01	2022/8/26 10:23	2021/12/11 0:00		100.794015	21.999423
C861	98966	腾冲山源茶苑分店	云南省保山市腾冲市腾越镇山源社区茶苑小区211号	云南分部	药店	0875-5185628	NULL	保山分部	腾冲	保山地区	保山04	2022/8/22 15:59	2021/12/23 0:00		98.494088	25.014848
C862	98967	龙陵锦绣润苑分店	云南省保山市龙陵县百农源特色农产品交易市场1栋SP01号，SP02号	云南分部	药店	NULL	NULL	保山分部	龙陵	保山地区	保山08	2022/7/26 15:17	2022/1/23 0:00		98.672467	24.575349
C863	99147	文山大景梓园分店	文山大景梓园一期幼儿园2-S11-S12项目商铺	云南分部	药店	NULL	NULL	文山分部	文山	文山地区	文山04	2022/7/26 14:42	2022/1/12 0:00		104.28031	23.351966
C864	99144	南宁大都郡分店	南宁市江南区友谊路东一里3号大都郡5号楼一层140、141、142号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区02	2022/11/14 16:37	2022/2/18 0:00		108.299608	22.773614
C865	99146	南宁天誉花园分店	南宁市良庆区良兴路15号天誉花园3组团1号楼1层102号，103号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/10/8 17:07	2022/1/3 0:00		108.41556	22.746626
C866	99123	重庆松牌路分店	重庆市渝北区龙溪街道松牌路113号附13号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区05	2022/11/7 13:49	2021/12/29 0:00		106.516138	29.594104
C867	99103	重庆金开大道分店	重庆市北部新区经开园金开大道1331号附10号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区03	2022/10/24 16:20	2022/1/8 0:00		106.559584	29.663126
C868	99205	成都麓山大道分店	成都市天府新区华阳街道麓山大道一段619号1层	四川分部	药店	028-86530418	028-86530418	四川分部	成都	成都地区	成都03	2022/11/15 9:27	2021/12/31 0:00		104.079731	30.486985
C869	99204	成都康家堰路二段分店	成都市双流区九江街道康家堰路二段296号，298号1层	四川分部	药店	028-85272429	028-85272429	四川分部	成都	成都地区	成都01	2022/8/27 11:44	2021/12/31 0:00		103.929994	30.628421
C870	99127	楚雄永安路分店	楚雄市开发区永安路102、103、104、105号	云南分部	药店	0878-3106972	0878-3106972	楚雄分部	楚雄	楚雄二区	楚雄二区03	2022/7/26 14:25	2021/12/2 0:00		101.539109	25.047284
C871	99384	成都诚心路分店	成都市温江区公平街办诚心路105号	四川分部	药店	028-60650352	028-84596036	四川分部	成都	成都地区	成都10	2022/11/2 9:54	2021/12/31 0:00		103.871142	30.689715
C872	99206	成都华府大道一段分店	成都市天府新区华阳街道华府大道一段996号1栋1单元1层1号	四川分部	药店	028-85272572	028-85272572	四川分部	成都	成都地区	成都03	2022/11/5 15:40	2021/12/31 0:00		104.047207	30.527656
C873	99266	重庆腾龙大道分店	重庆市南岸区腾龙大道50号附34,35号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区06	2022/11/2 13:23	2021/12/25 0:00		106.597736	29.595843
C874	99265	重庆双龙路分店	重庆市大渡口区双龙路1号附6号(部分)	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区02	2022/9/8 11:40	2021/12/27 0:00		106.474374	29.494803
C875	99264	重庆钢花路分店	重庆市大渡口区新山村街道钢花路66号3幢附1-1号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区02	2022/9/8 13:19	2021/12/29 0:00		106.484913	29.489156
C876	99303	南宁万达茂分店	南宁市邕宁区良堤路6号南宁万达茂BS5栋109，110号	广西分部	药店	7715623803	18378822855	广西分部	南宁	南宁二区	南宁二区02	2022/10/8 17:07	2022/1/1 0:00		108.439971	22.778705
C877	99403	自贡伍富花园分店	自贡市贡井区贡舒片区A2-13-2地块的伍富花园9号楼负一层临街商铺15,16,17号	四川分部	药店	0813-5997779	0813-5997779	四川分部	自贡	自贡地区	自贡04	2022/12/19 11:48	2021/12/31 0:00		104.704926	29.335183
C878	99523	临沧南天路三分店	临沧市临翔区南京凹世玺凤凰城项目一期南天路1758、1760号	云南分部	药店	NULL	NULL	临沧分部	临沧	临沧地区	临沧05	2022/7/26 15:07	2022/3/19 0:00		100.092241	23.863187
C879	99565	昭通红路小区分店	云南省昭通市昭阳区红路馨居小区A13幢1号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通04	2022/7/26 14:24	2021/12/4 0:00		103.754635	27.399264
C880	99846	江城逸岸蓝山分店	普洱市江城县勐烈镇东城区逸岸蓝山1期2-101,2-102,2-103号	云南分部	药店	NULL	NULL	普洱景洪分部	江城	普洱二区	普洱二区02	2022/7/26 14:25	2021/12/17 0:00		101.876064	22.558722
C881	99845	江城盛和花园分店	普洱市江城县三江大道盛和花园4幢30、31号	云南分部	药店	NULL	NULL	普洱景洪分部	江城	普洱二区	普洱二区02	2022/11/19 13:28	2021/12/17 0:00		101.872032	22.571106
C882	99844	江城民族街分店	普洱市江城县勐烈镇民族街39号	云南分部	药店	NULL	NULL	普洱景洪分部	江城	普洱二区	普洱二区02	2022/7/26 14:25	2021/12/17 0:00		101.860509	22.58283
C883	99843	江城勐烈大街分店	普洱市江城县勐烈镇勐烈大街29号	云南分部	药店	NULL	NULL	普洱景洪分部	江城	普洱二区	普洱二区02	2022/7/26 14:25	2021/12/17 0:00		101.860464	22.584311
C884	99763	楚雄建华山水国际新城小区分店	云南省楚雄市开发区团山路69号山水国际新城小区19幢1楼	云南分部	药店	0878-3374830	NULL	楚雄分部	楚雄	楚雄二区	楚雄二区03	2022/7/26 15:07	2021/12/11 0:00		101.547512	25.059619
C885	99783	南涧富民街二分店	云南省大理州南涧县南涧镇涧河社区富民街130号一楼	云南分部	药店	NULL	NULL	大理分部	南涧	大理南区	大理南区06	2022/7/26 14:37	2021/12/29 0:00		100.518552	25.041799
C886	99764	马关仁和苑分店	马关县逢春大道与广环路交叉口马关仁和苑一期8幢1-2层105号	云南分部	药店	NULL	NULL	文山分部	马关	文山地区	文山11	2022/7/26 14:24	2022/1/21 0:00		104.385412	23.013992
C887	99863	嵩明碧桂园紫薇星城分店	昆明市嵩明县嵩阳镇黄龙街1071号嵩明碧桂园碧桂紫薇星城1幢1-10号	云南分部	药店	NULL	NULL	昆明二部	嵩明	郊县地区	郊县地区07	2022/7/26 15:04	2021/12/21 0:00		103.049434	25.341155
C889	99866	昆明美璟欣城分店	昆明市北市区烟草一号路美璟欣城A幢1层A42,A43号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明北区	昆明北区02	2022/7/29 10:05	2021/12/16 0:00		102.732765	25.095769
C890	99865	昆明联想科技城二分店	昆明市联想科技城一期2幢14号1-2层	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明北区	昆明北区06	2022/7/29 10:07	2021/12/17 0:00		102.658839	25.084044
C891	99963	曲靖银屯路分店	曲靖市麒麟区银屯路金港华庭小区8号9号	云南分部	药店	NULL	NULL	曲靖分部	曲靖	曲靖南区	曲靖南区03	2022/7/26 15:22	2021/12/22 0:00		103.803794	25.4703
C892	99964	广南莲城印象分店	广南县莲城镇环城东路西面莲城印象二期S10-1号，S10-2号	云南分部	药店	NULL	NULL	文山分部	广南	文山地区	文山10	2022/7/26 14:50	2022/2/9 0:00		105.073453	24.044225
C893	100063	丽江玉福路分店	丽江市古城区古路坞家园B区1幢1层105号	云南分部	药店	NULL	NULL	丽江分部	丽江	丽江地区	丽江08	2022/7/26 14:45	2022/1/1 0:00		100.226037	26.884836
